probe,symbol,locus.link,fold.change,EntrezGene.ID,probe.name,Alignment.score,Length.of.probe,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
214701_s_at,FN1,2335,0.203387,2335,214701_s_at,11,11,FN1,FN1,2q34,CIG|DKFZp686F10164|DKFZp686H0342|DKFZp686I1370|DKFZp686O13149|FINC|FN|LETS|MSF,fibronectin 1
209189_at,FOS,2353,158.4641,2353,209189_at,11,11,FOS,FOS,14q24.3,c-fos,v-fos FBJ murine osteosarcoma viral oncogene homolog
227475_at,FOXQ1,94234,3.227012,94234,227475_at,11,11,FOXQ1,FOXQ1,6p25,HFH1,forkhead box Q1
213524_s_at,G0S2,50486,8.028258,50486,213524_s_at,11,11,G0S2,G0S2,1q32.2-q41,RP1-28O10.2,G0/G1switch 2
204457_s_at,GAS1,2619,0.03306,2619,204457_s_at,11,11,GAS1,GAS1,9q21.3-q22,NA,growth arrest-specific 1
215243_s_at,GJB3,2707,6.217691,2707,215243_s_at,11,11,GJB3,GJB3,1p34,CX31|DFNA2|EKV|FLJ22486|MGC102938,"gap junction protein, beta 3, 31kDa"
205490_x_at,GJB3,2707,5.812696,2707,205490_x_at,11,11,GJB3,GJB3,1p34,CX31|DFNA2|EKV|FLJ22486|MGC102938,"gap junction protein, beta 3, 31kDa"
206156_at,GJB5,2709,5.191625,2709,206156_at,11,11,GJB5,GJB5,1p35.1,CX31.1,"gap junction protein, beta 5"
215977_x_at,GK,2710,2.968146,2710,215977_x_at,11,11,GK,GK,Xp21.3,GK1|GKD,glycerol kinase
225706_at,GLCCI1,113263,0.39418,113263,225706_at,11,11,GLCCI1,GLCCI1,7p21.3,FAM117C|GIG18,glucocorticoid induced transcript 1
219267_at,GLTP,51228,3.683227,51228,219267_at,9,11,GLTP,GLTP,12q24.11,NA,glycolipid transfer protein
226177_at,GLTP,51228,3.592023,51228,226177_at,11,11,GLTP,GLTP,12q24.11,NA,glycolipid transfer protein
221050_s_at,GTPBP2,54676,2.32365,54676,221050_s_at,11,11,GTPBP2,GTPBP2,6p21-p12,MGC74725,GTP binding protein 2
205014_at,HBP17,9982,3.212566,9982,205014_at,11,11,FGFBP1,FGFBP1,4p16-p15,FGFBP|HBP17,fibroblast growth factor binding protein 1
208553_at,HIST1H1E,3008,0.052856,3008,208553_at,10,11,HIST1H1E,HIST1H1E,6p21.3,H1.4|H1F4|MGC116819|dJ221C16.5,"histone cluster 1, H1e"
202934_at,HK2,3099,3.044356,3099,202934_at,11,11,HK2,HK2,2p13,DKFZp686M1669|HKII|HXK2,hexokinase 2
209377_s_at,HMGN3,9324,0.30045,9324,209377_s_at,11,11,HMGN3,HMGN3,6q14.1,DKFZp686E20226|PNAS-24|PNAS-25|TRIP7,high mobility group nucleosomal binding domain 3
213472_at,HNRPH1,3187,0.327861,NA,NA,NA,NA,NA,NA,NA,NA,NA
206858_s_at,HOXC6,3223,0.231191,3223,206858_s_at,11,11,HOXC6,HOXC6,12q13.3,CP25|HHO.C8|HOX3|HOX3C,homeobox C6
222881_at,HPSE,10855,10.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA
219403_s_at,HPSE,10855,7.674973,10855,219403_s_at,11,11,HPSE,HPSE,4q21.3,HPA|HPR1|HPSE1|HSE1,heparanase
212983_at,HRAS,3265,50.06713,3265,212983_at,11,11,HRAS,HRAS,11p15.5,HRAS1|K-ras|N-ras|RASH1|c-bas/has,v-Ha-ras Harvey rat sarcoma viral oncogene homolog
201631_s_at,IER3,8870,13.39731,8870,201631_s_at,11,11,IER3,IER3,6p21.3,DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1,immediate early response 3
206924_at,IL11,3589,6.167717,3589,206924_at,11,11,IL11,IL11,19q13.3-q13.4,AGIF|IL-11,interleukin 11
206172_at,IL13RA2,3598,26.07531,3598,206172_at,11,11,IL13RA2,IL13RA2,Xq13.1-q28,CD213A2|IL-13R|IL13BP,"interleukin 13 receptor, alpha 2"
210118_s_at,IL1A,3552,4.045487,3552,210118_s_at,11,11,IL1A,IL1A,2q14,IL-1A|IL1|IL1-ALPHA|IL1F1,"interleukin 1, alpha"
39402_at,IL1B,3553,3.430884,3553,39402_at,16,16,IL1B,IL1B,2q14,IL-1|IL1-BETA|IL1F2,"interleukin 1, beta"
205067_at,IL1B,3553,4.337042,3553,205067_at,11,11,IL1B,IL1B,2q14,IL-1|IL1-BETA|IL1F2,"interleukin 1, beta"
202859_x_at,IL8,3576,2.997533,3576,202859_x_at,11,11,IL8,IL8,4q13-q21,3-10C|AMCF-I|CXCL8|GCP-1|GCP1|K60|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1|SCYB8|TSG-1|b-ENAP,interleukin 8
202794_at,INPP1,3628,2.022634,3628,202794_at,11,11,INPP1,INPP1,2q32,MGC110984,inositol polyphosphate-1-phosphatase
223309_x_at,IPLA2(GAMMA),50640,1.997961,50640,223309_x_at,11,11,PNPLA8,PNPLA8,7q31,IPLA2(GAMMA)|IPLA2-2|IPLA2G,patatin-like phospholipase domain containing 8
228462_at,IRX2,153572,0.318327,153572,228462_at,7,11,IRX2,IRX2,5p15.33,NA,iroquois homeobox protein 2
205032_at,ITGA2,3673,5.543545,3673,205032_at,6,11,ITGA2,ITGA2,5q23-q31,BR|CD49B|GPIa|VLA-2|VLAA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
201188_s_at,ITPR3,3710,2.182901,3710,201188_s_at,11,11,ITPR3,ITPR3,6p21,FLJ36205|IP3R3,"inositol 1,4,5-triphosphate receptor, type 3"
201189_s_at,ITPR3,3710,2.446638,3710,201189_s_at,11,11,ITPR3,ITPR3,6p21,FLJ36205|IP3R3,"inositol 1,4,5-triphosphate receptor, type 3"
201473_at,JUNB,3726,4.831434,3726,201473_at,11,11,JUNB,JUNB,19p13.2,NA,jun B proto-oncogene
204678_s_at,KCNK1,3775,7.025253,3775,204678_s_at,11,11,KCNK1,KCNK1,1q42-q43,DPK|HOHO|TWIK-1|TWIK1,"potassium channel, subfamily K, member 1"
204679_at,KCNK1,3775,4.885009,3775,204679_at,11,11,KCNK1,KCNK1,1q42-q43,DPK|HOHO|TWIK-1|TWIK1,"potassium channel, subfamily K, member 1"
204401_at,KCNN4,3783,2.811288,3783,204401_at,11,11,KCNN4,KCNN4,19q13.2,IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
204882_at,KIAA0053,9938,6.721998,9938,204882_at,10,11,ARHGAP25,ARHGAP25,2p14,KAIA0053,Rho GTPase activating protein 25
38149_at,KIAA0053,9938,3.278028,9938,38149_at,16,16,ARHGAP25,ARHGAP25,2p14,KAIA0053,Rho GTPase activating protein 25
225611_at,KIAA0303,23227,3.00211,NA,NA,NA,NA,NA,NA,NA,NA,NA
41386_i_at,KIAA0346,23135,4.707615,NA,NA,NA,NA,NA,NA,NA,NA,NA
212943_at,KIAA0528,9847,0.325316,9847,212943_at,11,11,KIAA0528,KIAA0528,12p12.1,DKFZp779N2044,KIAA0528
226808_at,KIAA0543,23145,0.380111,NA,NA,NA,NA,NA,NA,NA,NA,NA
213358_at,KIAA0802,23255,0.318067,NA,NA,NA,NA,NA,NA,NA,NA,NA
229817_at,KIAA1281,57507,0.37455,57507,229817_at,11,11,ZNF608,ZNF608,5q23.2,DKFZp781C0723|NY-REN-36,zinc finger protein 608
221778_at,KIAA1718,80853,2.566194,80853,221778_at,11,11,KIAA1718,NA,7q34,NA,KIAA1718 protein
225582_at,KIAA1754,85450,3.349724,85450,225582_at,11,11,KIAA1754,KIAA1754,10q25.1,2|DANGER|bA127L20|bA127L20.2,KIAA1754
209212_s_at,KLF5,688,3.33129,688,209212_s_at,11,11,KLF5,KLF5,13q22.1,BTEB2|CKLF|IKLF,Kruppel-like factor 5 (intestinal)
212408_at,LAP1B,26092,4.496038,26092,212408_at,11,11,TOR1AIP1,TOR1AIP1,1q24.2,DKFZP586G011|FLJ13142|LAP1B|MGC3413,torsin A interacting protein 1
202067_s_at,LDLR,3949,7.680009,3949,202067_s_at,11,11,LDLR,LDLR,19p13.3,FH|FHC,low density lipoprotein receptor (familial hypercholesterolemia)
217173_s_at,LDLR,3949,7.719138,3949,217173_s_at,11,11,LDLR,LDLR,19p13.3,FH|FHC,low density lipoprotein receptor (familial hypercholesterolemia)
202068_s_at,LDLR,3949,5.693366,3949,202068_s_at,11,11,LDLR,LDLR,19p13.3,FH|FHC,low density lipoprotein receptor (familial hypercholesterolemia)
210732_s_at,LGALS8,3964,0.48203,3964,210732_s_at,11,11,LGALS8,LGALS8,1q42-q43,Gal-8|PCTA-1|PCTA1|Po66-CBP,"lectin, galactoside-binding, soluble, 8 (galectin 8)"
212658_at,LHFPL2,10184,1.683908,10184,212658_at,11,11,LHFPL2,LHFPL2,5q14.1,DKFZp781E0375|KIAA0206,lipoma HMGIC fusion partner-like 2
205266_at,LIF,3976,5.179725,3976,205266_at,11,11,LIF,LIF,22q12.2,CDF|D-FACTOR|HILDA,leukemia inhibitory factor (cholinergic differentiation factor)
1558846_at,LOC119548,119548,2.87385,119548,1558846_at,11,11,PNLIPRP3,PNLIPRP3,10q25.3,NA,pancreatic lipase-related protein 3
230323_s_at,LOC120224,120224,4.649635,120224,230323_s_at,11,11,TMEM45B,TMEM45B,11q24.3,FLJ40787,transmembrane protein 45B
226726_at,LOC129642,129642,3.512111,129642,226726_at,11,11,MBOAT2,MBOAT2,2p25.1,FLJ14415|FLJ90298|OACT2,membrane bound O-acyltransferase domain containing 2
238058_at,LOC150381,150381,0.366826,NA,NA,NA,NA,NA,NA,NA,NA,NA
228046_at,LOC152485,152485,0.33288,NA,NA,NA,NA,NA,NA,NA,NA,NA
232158_x_at,LOC152519,152519,6.375145,11234,232158_x_at,1,11,HPS5,HPS5,11p14,AIBP63|KIAA1017,Hermansky-Pudlak syndrome 5
229125_at,LOC163782,163782,0.274419,163782,229125_at,11,11,ANKRD38,ANKRD38,1p31.3,FLJ10884|KIAA0172|RP5-1155K23.5|dJ1078M7.1,ankyrin repeat domain 38
220317_at,LRAT,9227,3.97767,9227,220317_at,10,11,LRAT,LRAT,4q32.1,MGC33103,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
208433_s_at,LRP8,7804,1.792539,7804,208433_s_at,11,11,LRP8,LRP8,1p34,APOER2|HSZ75190,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
